Id,SalePrice
1461,120616.26
1462,191342.94
1463,185309.22
1464,191970.6
1465,162489.75
1466,176254.6
1467,178227.44
1468,153113.6
1469,181410.16
1470,124526.39
1471,181661.03
1472,115800.61
1473,110005.805
1474,165803.77
1475,105022.76
1476,272361.25
1477,196401.16
1478,227773.02
1479,232338.94
1480,324314.47
1481,274041.5
1482,181163.17
1483,169892.44
1484,150702.38
1485,149606.19
1486,185985.86
1487,277483.44
1488,211569.05
1489,154343.88
1490,186484.72
1491,179100.38
1492,134261.5
1493,207013.16
1494,248621.42
1495,255816.16
1496,199023.84
1497,173026.08
1498,122792.29
1499,122782.945
1500,125524.336
1501,155227.89
1502,109759.055
1503,189540.14
1504,209553.48
1505,205920.83
1506,232889.84
1507,272654.2
1508,211731.06
1509,174203.56
1510,155707.7
1511,152742.12
1512,191691.97
1513,194538.34
1514,219272.98
1515,288152.78
1516,171751.1
1517,156134.4
1518,206196.88
1519,202683.5
1520,144245.64
1521,152368.77
1522,201001.25
1523,144537.34
1524,134159.25
1525,122247.984
1526,124305.24
1527,123190.11
1528,158680.47
1529,148369.75
1530,215155.69
1531,205631.16
1532,120500.93
1533,170552.94
1534,137114.95
1535,177419.52
1536,148061.1
1537,103488.63
1538,170644.1
1539,234924.53
1540,232367.47
1541,156612.34
1542,175880.47
1543,218892.31
1544,103159.04
1545,117414.22
1546,134467.11
1547,160110.77
1548,161507.84
1549,124533.61
1550,165374.1
1551,134716.38
1552,206440.4
1553,179379.11
1554,134856.88
1555,213152.53
1556,130135.95
1557,167333.84
1558,99951.38
1559,193369.14
1560,180434.44
1561,232971.0
1562,111519.22
1563,121544.266
1564,174164.81
1565,158854.1
1566,217451.98
1567,98800.2
1568,229975.3
1569,176689.72
1570,135301.52
1571,166139.44
1572,161647.75
1573,191808.25
1574,164405.92
1575,182232.64
1576,214924.98
1577,154780.75
1578,152791.19
1579,125457.8
1580,176439.94
1581,147377.53
1582,109837.23
1583,263449.97
1584,235710.62
1585,114542.5
1586,80130.9
1587,128290.87
1588,166076.62
1589,125183.01
1590,138479.12
1591,120542.125
1592,163652.25
1593,107543.38
1594,251333.72
1595,174007.33
1596,227729.62
1597,224722.0
1598,173278.97
1599,139044.4
1600,157691.61
1601,68704.27
1602,120843.36
1603,119125.04
1604,217255.22
1605,201573.12
1606,184851.16
1607,261208.22
1608,176743.52
1609,153741.81
1610,154772.23
1611,159808.69
1612,181253.3
1613,189474.4
1614,129025.9
1615,122606.26
1616,110921.766
1617,110917.93
1618,109272.84
1619,129449.85
1620,263044.44
1621,130673.266
1622,174391.03
1623,237661.36
1624,206897.08
1625,110794.445
1626,186791.0
1627,186909.88
1628,236604.81
1629,177374.67
1630,309175.6
1631,197822.97
1632,224007.5
1633,159714.38
1634,174762.75
1635,153204.12
1636,150662.88
1637,198306.61
1638,229182.92
1639,227315.6
1640,296941.53
1641,217122.8
1642,197922.17
1643,199317.0
1644,203223.17
1645,206202.28
1646,141157.9
1647,153617.16
1648,148995.22
1649,132231.3
1650,120409.68
1651,119496.4
1652,99847.69
1653,99844.76
1654,166852.4
1655,133529.9
1656,155692.84
1657,166848.56
1658,164279.0
1659,113741.02
1660,141082.94
1661,315510.6
1662,279819.1
1663,269285.47
1664,329442.3
1665,240086.53
1666,233138.64
1667,284139.88
1668,232124.19
1669,205814.14
1670,242417.88
1671,233835.45
1672,295385.22
1673,250453.84
1674,218019.11
1675,183518.6
1676,175571.62
1677,183658.23
1678,309132.7
1679,285900.53
1680,254062.1
1681,196607.28
1682,230897.53
1683,187164.75
1684,155356.62
1685,155053.77
1686,160536.84
1687,149640.02
1688,177338.62
1689,183904.72
1690,155966.94
1691,144799.6
1692,200929.05
1693,143635.62
1694,158501.5
1695,149717.28
1696,259708.62
1697,149726.64
1698,299131.1
1699,273849.4
1700,233217.12
1701,245755.73
1702,223021.77
1703,219652.56
1704,216914.97
1705,199454.95
1706,301732.38
1707,182368.06
1708,189926.94
1709,207266.58
1710,184200.34
1711,195488.03
1712,234138.31
1713,221368.97
1714,208680.56
1715,169368.44
1716,154129.44
1717,154836.0
1718,146289.25
1719,193436.12
1720,204605.97
1721,155205.03
1722,140419.97
1723,140553.81
1724,184173.2
1725,211946.9
1726,176435.02
1727,168883.38
1728,165676.0
1729,143402.98
1730,195201.42
1731,123266.05
1732,108311.1
1733,117541.82
1734,138549.34
1735,114154.055
1736,114455.07
1737,282457.12
1738,214771.23
1739,305266.34
1740,219745.06
1741,159045.86
1742,155271.06
1743,148431.9
1744,245007.31
1745,234762.47
1746,270490.44
1747,243245.88
1748,270569.0
1749,187608.95
1750,153834.9
1751,263550.6
1752,108299.57
1753,208333.53
1754,219391.84
1755,167510.31
1756,112156.664
1757,108314.945
1758,172462.5
1759,219906.88
1760,176020.55
1761,163704.52
1762,208906.78
1763,205276.06
1764,120700.73
1765,215084.55
1766,184635.17
1767,199103.5
1768,159394.88
1769,168831.75
1770,133303.64
1771,151858.75
1772,191427.88
1773,151704.72
1774,237525.03
1775,133964.06
1776,140307.06
1777,99183.63
1778,129365.76
1779,165004.75
1780,158344.4
1781,158973.64
1782,98770.78
1783,148674.5
1784,114136.55
1785,135696.3
1786,221587.52
1787,177393.75
1788,75561.38
1789,105831.76
1790,89617.27
1791,261725.17
1792,174949.22
1793,131230.77
1794,119186.195
1795,139545.81
1796,144442.94
1797,125229.74
1798,131095.81
1799,91549.484
1800,149403.17
1801,154153.06
1802,166855.67
1803,190155.5
1804,118249.85
1805,131883.16
1806,152107.66
1807,199896.38
1808,140307.81
1809,150842.72
1810,164138.81
1811,186640.31
1812,156344.89
1813,140629.95
1814,107569.836
1815,77074.27
1816,98848.18
1817,158228.3
1818,210799.12
1819,132085.92
1820,101821.68
1821,154225.66
1822,156161.86
1823,99016.43
1824,197147.2
1825,192351.08
1826,128341.11
1827,124579.555
1828,183424.6
1829,134965.83
1830,189697.81
1831,215874.72
1832,220285.53
1833,207555.02
1834,146803.14
1835,193529.34
1836,189243.9
1837,111589.195
1838,145858.16
1839,87799.06
1840,158868.38
1841,145510.84
1842,119569.8
1843,132625.19
1844,130479.14
1845,193089.4
1846,143880.19
1847,269631.78
1848,82687.12
1849,175047.62
1850,135268.86
1851,172052.08
1852,156626.6
1853,132261.83
1854,140655.9
1855,169666.84
1856,223928.1
1857,220369.34
1858,234118.42
1859,194806.05
1860,162421.97
1861,191969.4
1862,296344.1
1863,296344.1
1864,296344.1
1865,224851.0
1866,231495.48
1867,198001.72
1868,243566.66
1869,173497.6
1870,168921.55
1871,199018.84
1872,147602.17
1873,193163.7
1874,128349.82
1875,185921.11
1876,193271.17
1877,191842.61
1878,189739.75
1879,118029.195
1880,114723.43
1881,220259.84
1882,235840.62
1883,176508.94
1884,208164.38
1885,200524.97
1886,244495.44
1887,183529.88
1888,204021.12
1889,144625.0
1890,144718.55
1891,135189.25
1892,109709.375
1893,173274.1
1894,213196.38
1895,198103.94
1896,147700.97
1897,139249.89
1898,147412.69
1899,155299.84
1900,125795.586
1901,163674.47
1902,189266.88
1903,256531.69
1904,140386.47
1905,198562.45
1906,166786.1
1907,243044.83
1908,121362.586
1909,133223.9
1910,132050.75
1911,237165.03
1912,297101.6
1913,233706.06
1914,72559.695
1915,219493.69
1916,107609.46
1917,224981.88
1918,135192.45
1919,180874.4
1920,202648.78
1921,265303.03
1922,209072.31
1923,261197.12
1924,201115.22
1925,218106.44
1926,270648.9
1927,135234.45
1928,177816.08
1929,107627.59
1930,154001.72
1931,116662.586
1932,139191.86
1933,166023.03
1934,170931.11
1935,159414.36
1936,176652.44
1937,182835.88
1938,175337.48
1939,214257.31
1940,162489.75
1941,173556.52
1942,175587.33
1943,169973.34
1944,266149.6
1945,253042.78
1946,187304.06
1947,227256.36
1948,189169.17
1949,215036.69
1950,168612.47
1951,273798.6
1952,254457.44
1953,153403.23
1954,225081.25
1955,136793.47
1956,294410.9
